Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
lynx,Poland,17.1,75,male,,52.831229,23.814123,,3/21/2024,Anne Anthony
lynx,Slovakia,30,115,male,,48.408025,18.865229,,5/31/2024,John Johnson
red squirrel,Slovakia,0.2,14,female,,48.186611,17.090271,,3/24/2024,John Johnson
red squirrel,Germany,0.2,14,male,,49.554765,11.0922,,4/16/2024,Bob Bobson
lynx,Slovakia,30,120,male,,48.409308,18.832606,,2/3/2024,John Johnson
lynx,Hungary,29,109,male,,48.501574,20.532455,,7/3/2024,Anne Anthony
lynx,Poland,29,94,male,,52.809851,23.858071,,2/3/2024,Anne Anthony
lynx,Slovakia,28,131,male,,48.406304,18.842851,,3/3/2024,John Johnson
lynx,Slovakia,27,96,male,,48.406669,18.871602,,5/1/2024,John Johnson
lynx,Slovakia,27,100,male,,48.411117,18.862265,,4/17/2024,John Johnson
lynx,Slovakia,27,94,female,,48.411163,18.864362,,2/4/2024,John Johnson
lynx,Poland,27,95,female,,52.853843,23.919668,,4/28/2024,Anne Anthony
lynx,Austria,26,91,female,,47.780999,14.38212,,4/24/2024,Bob Bobson
lynx,Czech Republic,26,88,female,,50.883881,14.373018,,6/4/2024,John Johnson
lynx,Czech Republic,26,81,female,,50.884012,14.370554,,1/4/2024,John Johnson
lynx,Poland,26,85,female,,52.808579,23.843768,,7/3/2024,Anne Anthony
lynx,Slovakia,25,107,female,,48.408475,18.872535,,5/2/2024,John Johnson
red squirrel,Germany,0.256,16,female,,48.160432,11.494472,,2/4/2024,Bob Bobson
red squirrel,Slovakia,0.32,17,male,,48.406733,18.838754,,5/3/2024,John Johnson
lynx,Slovakia,25,96,female,,48.410693,18.832845,,3/22/2024,John Johnson
lynx,Slovakia,25,101,female,,48.412941,18.863684,,5/29/2024,John Johnson
red squirrel,Hungary,0.295,17,male,,48.50578,20.546466,,4/3/2024,Anne Anthony
red squirrel,Czech Republic,0.273,17,female,,49.938634,14.181813,,7/3/2024,John Johnson
lynx,Hungary,25,89,male,,48.504169,20.559452,,4/3/2024,Anne Anthony
red squirrel,Czech Republic,0.266,17,male,,49.939062,14.177939,,3/18/2024,John Johnson
lynx,Czech Republic,25,97,female,,50.881003,14.369286,,6/30/2024,John Johnson
lynx,Slovakia,24,81,female,,48.408549,18.87396,,4/19/2024,John Johnson
lynx,Hungary,24,79,male,,48.503043,20.561567,,5/3/2024,Anne Anthony
red squirrel,Poland,0.283,17,female,,52.239931,21.056703,,4/3/2024,Anne Anthony
lynx,Hungary,24,76,male,,48.505494,20.551966,,1/3/2024,Anne Anthony
red squirrel,Hungary,0.26,18,male,,47.505768,18.943674,,3/13/2024,Anne Anthony
lynx,Poland,24,89,female,,52.847483,23.906057,,5/5/2024,Anne Anthony
lynx,Czech Republic,23,78,male,,49.93734,14.366824,,4/22/2024,John Johnson
lynx,Austria,23,86,male,,47.781257,14.383099,,3/14/2024,Bob Bobson
red squirrel,Hungary,0.284,18,female,,47.505786,18.943124,,3/20/2024,Anne Anthony
lynx,Slovakia,23,95,male,,48.411736,18.874597,,6/19/2024,John Johnson
red squirrel,Hungary,0.297,18,male,,47.506306,18.946099,,4/14/2024,Anne Anthony
lynx,Slovakia,23,97,female,,48.413226,18.848128,,5/3/2024,John Johnson
red squirrel,Hungary,0.293,18,female,,47.507557,18.942066,,5/3/2024,Anne Anthony
red squirrel,Hungary,0.286,18,male,,47.50826,18.948349,,3/4/2024,Anne Anthony
red squirrel,Hungary,0.286,18,female,,47.508454,18.949343,,12/3/2024,Anne Anthony
lynx,Hungary,23,78,female,,48.504128,20.568479,,2/3/2024,Anne Anthony
red squirrel,Hungary,0.319,18,male,,47.508665,18.940456,,7/4/2024,Anne Anthony
red squirrel,Hungary,0.301,18,male,,47.51026,18.947838,,3/23/2024,Anne Anthony
red squirrel,Hungary,0.337,18,female,,47.511558,18.942454,,1/4/2024,Anne Anthony
red squirrel,Austria,0.308,18,male,,47.780904,14.385669,,5/4/2024,Bob Bobson
lynx,Hungary,23,82,female,,48.506529,20.554548,,1/3/2024,Anne Anthony
lynx,Hungary,23,73,female,,48.507503,20.551726,,9/3/2024,Anne Anthony
lynx,Hungary,23,77,female,,48.509272,20.551952,,10/3/2024,Anne Anthony
lynx,Poland,23,73,male,,52.823016,23.812286,,7/4/2024,Anne Anthony
red squirrel,Austria,0.332,18,female,,47.780927,14.382188,,5/4/2024,Bob Bobson
red squirrel,Austria,0.277,18,male,,47.781073,14.383506,,2/4/2024,Bob Bobson
red squirrel,Austria,0.332,18,female,,47.781345,14.382936,,3/24/2024,Bob Bobson
lynx,Austria,22,80,female,,47.780779,14.384918,,3/14/2024,Bob Bobson
red squirrel,Austria,0.33,18,female,,47.781637,14.385383,,2/4/2024,Bob Bobson
lynx,Slovakia,22,88,male,,48.40855,18.864935,,11/4/2024,John Johnson
lynx,Slovakia,22,73,male,,48.410551,18.864866,,4/29/2024,John Johnson
red squirrel,Austria,0.282,18,male,,47.781755,14.385083,,2/4/2024,Bob Bobson
lynx,Slovakia,22,85,male,,48.411436,18.86478,,5/19/2024,John Johnson
red squirrel,Austria,0.262,18,female,,47.781838,14.382938,,2/4/2024,Bob Bobson
lynx,Czech Republic,22,83,female,,50.882924,14.368207,,4/19/2024,John Johnson
lynx,Poland,22,78,male,,52.821625,23.818063,,10/4/2024,Anne Anthony
red squirrel,Germany,0.326,18,female,,48.16087,11.49027,,4/15/2024,Bob Bobson
red squirrel,Germany,0.302,18,female,,48.160992,11.495374,,12/4/2024,Bob Bobson
lynx,Poland,22,101,male,,52.824599,23.816842,,2/4/2024,Anne Anthony
lynx,Slovakia,21,85,male,,48.405213,18.84085,,3/30/2024,John Johnson
red squirrel,Germany,0.335,18,male,,48.161549,11.493041,Bob Bobson,3/13/2024,Bob Bobson
red squirrel,Germany,0.323,18,female,,48.161794,11.494325,,4/15/2024,Bob Bobson
red squirrel,Germany,0.266,18,female,,48.161906,11.490434,,2/4/2024,Bob Bobson
lynx,Czech Republic,21,91,female,,50.881878,14.371969,,5/23/2024,John Johnson
lynx,Austria,20,74,female,,47.781106,14.382184,,3/21/2024,Bob Bobson
red squirrel,Germany,0.296,18,male,,48.162162,11.493917,,11/4/2024,Bob Bobson
lynx,Austria,20,90,male,,47.781188,14.385356,,4/24/2024,Bob Bobson
red squirrel,Slovakia,0.33,18,,,48.184757,17.082936,,3/19/2024,John Johnson
red squirrel,Slovakia,0.288,18,female,,48.185953,17.08393,,3/13/2024,John Johnson
red squirrel,Slovakia,0.331,18,female,,48.18604,17.091147,,3/11/2024,James Johnson
lynx,Slovakia,20,78,female,,48.40979,18.870341,,3/31/2024,John Johnson
lynx,Hungary,20,90,female,,48.501938,20.567814,,11/3/2024,Anne Anthony
red squirrel,Slovakia,0.281,18,male,,48.18769,17.086471,,3/3/2024,John Johnson
red squirrel,Slovakia,0.321,18,female,,48.226708,17.087853,,3/27/2024,John Johnson
red squirrel,Slovakia,0.286,18,male,,48.228961,17.076478,,3/30/2024,John Johnson
lynx,Hungary,20,86,male,,48.504717,20.558726,,3/13/2024,Anne Anthony
lynx,Poland,20,95,female,,52.814984,23.840681,,9/3/2024,Anne Anthony
lynx,Poland,20,90,female,,52.824608,23.817396,,4/14/2024,Anne Anthony
red squirrel,Slovakia,0.254,18,male,,48.239854,17.086693,,3/25/2024,John Johnson
red squirrel,Slovakia,0.266,18,female,,48.40459,18.846849,,5/3/2024,John Johnson
red squirrel,Slovakia,0.289,18,male,,48.410536,18.870325,,3/17/2024,John Johnson
red squirrel,Hungary,0.32,18,male,,48.502091,20.547521,,4/3/2024,Anne Anthony
